"","Brown_Algae","CCA","Cyanobacteria","Dead_Coral","Foraminifera","Green_Algae","Hard_Coral","Hard_Substrate","Macrofauna","Other_cnidarian","Red_Algae","Sand","Soft_Coral","Turf_algae","Turf_and_sand"
"1A",0,0.7352956745,0,0,0,0.05556,0.0064993115,0,0,0.147069723,0,9.8611,0,0,88.692764879
"1B",0,8.136214842,0,0,0,0.35225871,0.0229421365,0,0,0,0.138898611,2.582742397,0.185015055,3.081618726,82.5497176695
"1C",0,11.3831800405,0,0,0,0.5099907455,0.0533909715,0,0,0,0,0.8333,0.294112976,5.8851596245,75.8227521445
"2A",0,15.9441131385,0.42066891,0.70635365,0,0.02777972,0.36880078,0,0.424632695,0,0.988357276,5.549545927,0.425800066,4.03427132,53.438091052
"2B",0,21.2506837875,0.727121115,0,0,0,0.348595051,0,0.142984085,0,2.0277242575,1.997075382,0.03676782,10.5451055565,47.6810686985
"2C",0,20.1357415065,0.988582329,0.13889861,0,0.055559167,0.255119922,0,0,0,1.258201643,2.140375984,1.0128944315,9.4711270195,50.312422368
"3A",0,36.0701994105,0.42066318,0.41669583,0,0.08497339,0.269262284,0,0.07143445,0,0.1388986,1.299064,1.411354425,9.9810610095,33.612724225
"3B",0,25.284591635,0.285734855,0.28573633,0,0.029413635,0.490392579,0,0,0,0.147068165,0,2.902305625,13.565841955,27.0974638185
"3C",0,21.7818364475,0.433036666,0.14286596,0,0.14132658,0.1999021685,0,0,0.28596692,1.147088825,0.85370124,1.00497979,22.3684935685,39.4647629245
"4A",0.8533261,22.30518833,0,0.432801545,0,0.147170645,0.2663855985,0.14286743,0.576538455,0,1.28229779,1.833692818,0.685010181,33.7364508765,22.2101113345
"4B",1.3396680915,7.9115124205,0.1389,0.14286596,0,0.086561195,0.283593016,0,0.641153213,1.13495035,0.27779722,1.584504861,0.719792332,19.2617102055,49.796048371
"4C",2.421851569,6.263608622,0.4167,0.1562623,0,0,0.256309731,0,1.3154849345,1.142848325,0.7334912795,1.972945005,0,4.534026036,66.027817251
"5A",1.6459509385,4.261221284,0,0.14286745,0,0,0.328411189,0,0.6373124415,0,1.131754642,1.8217434695,0.138887153,12.8179795545,60.2522657505
"5B",0.42066465,5.579706107,0.13889861,0.1428689,0,0.05635291,0.3576281185,0,0.41867885,0,0.147068166,1.13125918,1.138118371,14.364169531,56.2474670495
"5C",0.990867984,3.6746088875,0,0.416645835,0,0.055559165,0.4872210735,0,0.7825222145,0.416654165,0.8854722,0.710368325,0.07044151,5.255933018,63.0962497535
"6A",0.138898605,3.831753912,0,0.312521095,0,0.085767725,0.7933570915,0,0.212433465,0.147068165,1.135708115,10.5782303915,0.31455107,3.700600735,42.9966974355
"6B",0.279779505,8.148454135,0,0.580358045,0,0,0.69961431,0,0.210332325,1.11108889,1.28698663,2.994704065,0.034724305,7.0761658,46.90009235
"6C",0.069449305,8.654515285,0,0,0,0,0.854591915,0,0.156873975,0,1.022887985,5.0476931,0.37724492,6.561751045,39.14948399
"7A",0.389345921052632,0.921043931578947,0,0,0,0.455040831578947,0.375085079473684,0,0.296594279473684,0.159500073684211,0.765400831578947,1.48760032842105,1.13499540421053,12.8003336752632,59.1753112510526
"7B",0.071433715,5.3868206125,0,1.6359140025,0,0.7280939745,0.319798174,0,0.210330935,0,1.1672389715,2.3043915965,1.15541148,9.6545922865,56.954277991
"7C",0.396981227777778,4.47050997666667,0.158741588888889,1.43385262666667,0,0.601698907777778,0.308952943888889,0,0.154331788888889,0,2.83511015333333,2.757066315,1.12284952944444,19.8370082644444,46.3112627238889
"8A",0,26.213999347,0.7497809985,0.3125210935,0.172424495,0.12735526,0.501073256,0,0.311058855,0.16667665,0.15152672,3.8943622045,0.23039484,6.850032835,37.26097904
"8B",0,22.407373327,0,0.303053445,0,0,0.213353279,0,0.29018124,0,0.14286743,6.5878293025,0.60495586,4.4129175995,53.758228884
"8C",0,35.3387116155,0.156260545,0.465466805,0,0.1870276195,0.5114476865,0,0,1.0842498035,0.974103959,2.836120095,0.5554097215,14.6577122945,18.826899718
"9A",0,18.5155943235,0,1.025240525,0,0.31934025,0.588938637,0,0,0,7.003025612,1.7262205505,1.161030105,8.2231813675,31.352617678
"9B",0,20.7540822522222,0,0.158739955555556,0,0.787503066666667,0.841097923888889,0,0,0,2.55898912611111,1.9047815,0.319873788888889,11.7391447244444,20.6589432405556
"9C",0,16.740165056,0,0,0,0.43827293,0.4389620655,0,0,0,6.306114493,2.960333301,1.3090081065,9.1564576805,38.095200861
