Type;Coral_type;Coral_gender;Label_name
Hard_Coral;Massive_Coral;Acanthastrea;Acanthastrea
Hard_Coral;Massive_Coral;Acanthastrea;Acanthastrea_echinata
Hard_Coral;Branching_Coral;Acropora;Acropora
Hard_Coral;Branching_Coral;Acropora;Acropora_abrotanoides
Hard_Coral;Branching_Coral;Acropora;Acropora_branching
Hard_Coral;Branching_Coral;Acropora;Acropora_digitifera
Hard_Coral;Branching_Coral;Acropora;Acropora_Robusta
Hard_Coral;Branching_Coral;Acropora;Acropora_tabulate
Hard_Coral;Massive_Coral;Astrea;Astrea
Hard_Coral;Massive_Coral;Astreopora;Astreopora
Hard_Coral;Massive_Coral;Astreopora;Astreopora_myriophthalma
Hard_Coral;Massive_Coral;Astreopora;Astreopora_ocellata
Hard_Coral;Massive_Coral;Other;Bleaching
Hard_Coral;Massive_Coral;Coscinaraea;Coscinaraea
Hard_Coral;Massive_Coral;Cyphastrea;Cyphastrea
Hard_Coral;Massive_Coral;Dipsastraea;Dipsastraea
Hard_Coral;Massive_Coral;Dipsastraea;Dipsastraea_matthai
Hard_Coral;Massive_Coral;Echinopora;Echinopora
Hard_Coral;Massive_Coral;Favites;Favites
Hard_Coral;Massive_Coral;Favites;Favites_complanata
Hard_Coral;Massive_Coral;Favites;Favites_pentagona
Hard_Coral;Massive_Coral;Galaxea;Galaxea
Hard_Coral;Massive_Coral;Goniastrea;Goniastrea
Hard_Coral;Massive_Coral;Goniastrea;Goniastrea_stelligera
Hard_Coral;Massive_Coral;Goniastrea;Gonistrea_pectinata
Hard_Coral;Massive_Coral;Hard_coral;Hard_coral
Hard_Coral;Massive_Coral;Hydnophora;Hydnophora
Hard_Coral;Massive_Coral;Leptastrea;Leptastrea
Hard_Coral;Massive_Coral;Leptastrea;Leptastrea_purpurea
Hard_Coral;Massive_Coral;Montipora;Montipora
Hard_Coral;Massive_Coral;Paramontastrea;Paramontastraea_peresi
Hard_Coral;Massive_Coral;Pavona;Pavona_venosa
Hard_Coral;Massive_Coral;Platygyra;Platygyra
Hard_Coral;Massive_Coral;Platygyra;Platygyra_pini
Hard_Coral;Massive_Coral;Plesiastrea;Plesiastrea_versipora
Hard_Coral;Branching_Coral;Pocillopora;Pocillopora
Hard_Coral;Branching_Coral;Pocillopora;Pocillopora_grandis_eydouxi
Hard_Coral;Branching_Coral;Pocillopora;Pocillopora_meandrina
Hard_Coral;Branching_Coral;Pocillopora;Pocillopora_verrucosa
Hard_Coral;Massive_Coral;Porites;Porites_branching
Hard_Coral;Massive_Coral;Porites;Porites_massive
Hard_Coral;Massive_Coral;Porites;Porites_rus
Hard_Coral;Massive_Coral;Psammocora;Psammocora
Hard_Coral;Massive_Coral;Psammocora;Psammocora_profundacella
Hard_Coral;Massive_Coral;Stylocoeniella;Stylocoeniella
Hard_Coral;Massive_Coral;Turbinaria;Turbinaria_coral
Hard_Coral;Massive_Coral;Turbinaria;Turbinaria_irregularis
Soft_Coral;Soft_Coral;Cladiella;Cladiella
Macrofauna;Macrofauna;Echinostrephus_molaris;Echinostrephus_molaris
Soft_Coral;Soft_Coral;Lobophytum;Lobophytum
Other_cnidarian;Other_cnidarian;Millepora;Millepora
Macrofauna;Macrofauna;Molluscs;Molluscs
Soft_Coral;Soft_Coral;Sarcophyton;Sarcophyton
Soft_Coral;Soft_Coral;Soft_Coral;Soft_Coral
Sand;Sand;Sand;Sand
Dead_Coral;Dead_Coral;Dead_coral;Dead_coral
Hard_Substrate;Hard_Substrate;Hard_Substrate;Hard_Substrate
UNAV;UNAV;UNAV;UNAV
Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
Foraminifera;Foraminifera;Foraminifera;Foraminifera
Unknown;Unknown;Unknown;Unknown
CCA;CCA;CCA;CCA
Green_Algae;Green_Algae;Dictyosphaeria;Dictyosphaeria
Green_Algae;Green_Algae;Green_turfing_algae;Green_turfing_algae
Green_Algae;Green_Algae;Halimeda;Halimeda
Red_Algae;Red_Algae;Liagora;Liagora
Green_Algae;Green_Algae;Neomeris;Neomeris
Brown_Algae;Brown_Algae;Padina;Padina
Brown_Algae;Brown_Algae;Turbinaria_algae;Turbinaria_algae
Turf_algae;Turf_algae;Turf_algae;Turf_algae
Turf_and_sand;Turf_and_sand;Turf_and_sand;Turf_and_sand
Green_Algae;Green_Algae;Ulva;Ulva
