;Hard coral diversity;Pocillopora;Acropora;Astreopora;Porites;Algal turf;Soft coral;Flow velocity magnitude;Wave height deviation;Formula;R2;Number of trees;Sample rate
Ascidiascea;0,08;0,09;0,02;0,01;0,01;0,02;0,05;0,37;0,36;y = 0.81*x + 0.66;0,86;19;0,55
Crustose coralline algae;0,05;0,03;0,04;0,25;0,15;0,10;0,05;0,10;0,22;y = 0.75*x + 5.1;0,78;37;0,55
Other. algae;0,01;0,02;0,02;0,45;0,44;0,01;0,04;0,01;0,01;y = 0.58*x + 0.18;0,55;42;0,55
Annelida;0,18;0,20;0,15;0,06;0,13;0,05;0,07;0,07;0,08;y = 0.59*x + 5.4;0,55;23;0,63
Biofilms;0,02;0,01;0,00;0,01;0,00;0,00;0,00;0,06;0,89;y = 0.58*x + 2.14;0,51;25;0,63
Cirripedia;0,09;0,04;0,01;0,02;0,00;0,28;0,02;0,15;0,40;y = 0.27*x + 0.04;0,42;22;0,55
Bryozoa;0,00;0,00;0,22;0,05;0,02;0,21;0,00;0,00;0,51;y = 0.4*x + 6.41;0,41;17;0,80
Foraminifera;0,07;0,11;0,22;0,08;0,04;0,28;0,14;0,04;0,03;y = 0.3*x + 4.75;0,34;21;0,80
Cyanobacteria;0,01;0,09;0,02;0,11;0,04;0,16;0,22;0,05;0,30;y = 0.13*x + 1.92;0,28;20;0,55
Bivalvia;0,18;0,08;0,00;0,02;0,11;0,08;0,03;0,15;0,36;y = 0.24*x + 1.34;0,20;22;0,70
Porifera;0,02;0,66;0,05;0,00;0,00;0,23;0,05;0,00;0,00;y = 0.22*x + 5.91;0,18;16;0,70
Hydrozoa;0,04;0,02;0,06;0,10;0,07;0,63;0,02;0,03;0,02;y = 0.25*x + 3.07;0,13;24;0,63
