"site";"mean";"sd";"max";"min"
"RUNA1A";0,013369461;0,21119554;0,4686966;-0,5678235
"RUNA1B";0,013369461;0,21119554;0,4686966;-0,5678235
"RUNA1C";0,013369461;0,21119554;0,4686966;-0,5678235
"RUNA2A";-0,067001258;0,22073776;0,4779768;-0,5526938
"RUNA2B";-0,067001258;0,22073776;0,4779768;-0,5526938
"RUNA2C";-0,067001258;0,22073776;0,4779768;-0,5526938
"RUNA3A";-0,067001258;0,22073776;0,4779768;-0,5526938
"RUNA3B";-0,067001258;0,22073776;0,4779768;-0,5526938
"RUNA3C";-0,067001258;0,22073776;0,4779768;-0,5526938
"RUNA4A";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA4B";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA4C";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA5A";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA5B";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA5C";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA6A";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA6B";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA6C";-0,182141642;0,26099484;0,4424296;-0,6741032
"RUNA7A";-0,240667848;0,25251719;0,2880605;-0,689713
"RUNA7B";-0,240667848;0,25251719;0,2880605;-0,689713
"RUNA7C";-0,240667848;0,25251719;0,2880605;-0,689713
"RUNA8A";-0,202010224;0,19085461;0,1672476;-0,5375088
"RUNA8B";-0,202010224;0,19085461;0,1672476;-0,5375088
"RUNA8C";-0,202010224;0,19085461;0,1672476;-0,5375088
"RUNA9A";-0,090928636;0,10149529;0,2311585;-0,2858496
"RUNA9B";-0,090928636;0,10149529;0,2311585;-0,2858496
"RUNA9C";-0,090928636;0,10149529;0,2311585;-0,2858496
