"site";"mean";"sd";"max";"dev";"min"
"RUNA1A";1,33493;0,4381644;3,9;-0,367017443783069;0,59
"RUNA1B";1,33493;0,4381644;3,9;-0,367017443783069;0,59
"RUNA1C";1,33493;0,4381644;3,9;-0,367017443783069;0,59
"RUNA2A";1,421986;0,4672841;3,96;-0,280342840608466;0,61
"RUNA2B";1,421986;0,4672841;3,96;-0,280342840608466;0,61
"RUNA2C";1,421986;0,4672841;3,96;-0,280342840608466;0,61
"RUNA3A";1,421986;0,4672841;3,96;-0,280342840608466;0,61
"RUNA3B";1,421986;0,4672841;3,96;-0,280342840608466;0,61
"RUNA3C";1,421986;0,4672841;3,96;-0,280342840608466;0,61
"RUNA4A";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA4B";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA4C";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA5A";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA5B";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA5C";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA6A";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA6B";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA6C";1,619363;0,525566;4,39;-0,083351273148148;0,69
"RUNA7A";1,728035;0,5543;4,55;0,0248198578042327;0,72
"RUNA7B";1,728035;0,5543;4,55;0,0248198578042327;0,72
"RUNA7C";1,728035;0,5543;4,55;0,0248198578042327;0,72
"RUNA8A";1,854094;0,5585312;4,5;0,150277860449735;0,79
"RUNA8B";1,854094;0,5585312;4,5;0,150277860449735;0,79
"RUNA8C";1,854094;0,5585312;4,5;0,150277860449735;0,79
"RUNA9A";2,261719;0,6224161;4,63;0,555613839285714;0,95
"RUNA9B";2,261719;0,6224161;4,63;0,555613839285714;0,95
"RUNA9C";2,261719;0,6224161;4,63;0,555613839285714;0,95
