div_c;ARMS;Pocillo;Acropora;Astreopora;Porites;algal_turf;Soft_coral;flow_veloc_magnitude;wave_height_dev;temperature_dev;complexite_topo
2;RUNA1A;0,23325767;0;0;0;85,34400435;0,159709344;0,114946647;-0,367017444;0,05809031;1
2;RUNA1B;0,23325767;0;0;0;85,34400435;0,159709344;0,114946647;-0,367017444;0,05809031;1
2;RUNA1C;0,23325767;0;0;0;85,34400435;0,159709344;0,114946647;-0,367017444;0,05809031;1
14;RUNA2A;1,439713665;0,126975333;1,112578038;1,025376765;58,4940287;0,491820773;0,151117728;-0,280342841;0,045553437;3
14;RUNA2B;1,439713665;0,126975333;1,112578038;1,025376765;58,4940287;0,491820773;0,151117728;-0,280342841;0,045553437;3
14;RUNA2C;1,439713665;0,126975333;1,112578038;1,025376765;58,4940287;0,491820773;0,151117728;-0,280342841;0,045553437;3
10,33333333;RUNA3A;1,553769522;0,886172043;0,464934368;0,271347603;48,69678246;1,772879947;0,151117728;-0,280342841;0,045553437;3
10,33333333;RUNA3B;1,553769522;0,886172043;0,464934368;0,271347603;48,69678246;1,772879947;0,151117728;-0,280342841;0,045553437;3
10,33333333;RUNA3C;1,553769522;0,886172043;0,464934368;0,271347603;48,69678246;1,772879947;0,151117728;-0,280342841;0,045553437;3
15,66666667;RUNA4A;1,366416743;0,056665718;0,333506693;0,903837813;65,18872134;0,468267504;0,230089746;-0,083351273;0,038520846;3
15,66666667;RUNA4B;1,366416743;0,056665718;0,333506693;0,903837813;65,18872134;0,468267504;0,230089746;-0,083351273;0,038520846;3
15,66666667;RUNA4C;1,366416743;0,056665718;0,333506693;0,903837813;65,18872134;0,468267504;0,230089746;-0,083351273;0,038520846;3
16;RUNA5A;1,019450402;0,115346457;1,287044692;1,884433598;70,67802156;0,449149011;0,230089746;-0,083351273;0,038520846;3
16;RUNA5B;1,019450402;0,115346457;1,287044692;1,884433598;70,67802156;0,449149011;0,230089746;-0,083351273;0,038520846;3
16;RUNA5C;1,019450402;0,115346457;1,287044692;1,884433598;70,67802156;0,449149011;0,230089746;-0,083351273;0,038520846;3
10;RUNA6A;0,655100733;0,009259907;2,015401037;8,068575262;48,79493047;0,242173432;0,230089746;-0,083351273;0,038520846;5
10;RUNA6B;0,655100733;0,009259907;2,015401037;8,068575262;48,79493047;0,242173432;0,230089746;-0,083351273;0,038520846;5
10;RUNA6C;0,655100733;0,009259907;2,015401037;8,068575262;48,79493047;0,242173432;0,230089746;-0,083351273;0,038520846;5
17,33333333;RUNA7A;1,910575838;0,070396252;0,546241842;0,813562846;68,24426206;1,137752138;0,314591889;0,024819858;0,028294445;2
17,33333333;RUNA7B;1,910575838;0,070396252;0,546241842;0,813562846;68,24426206;1,137752138;0,314591889;0,024819858;0,028294445;2
17,33333333;RUNA7C;1,910575838;0,070396252;0,546241842;0,813562846;68,24426206;1,137752138;0,314591889;0,024819858;0,028294445;2
9,333333333;RUNA8A;0,374348177;2,057398918;0,359989965;1,22935781;45,25559013;0,463586807;0,301129375;0,15027786;-0,008452428;3
9,333333333;RUNA8B;0,374348177;2,057398918;0,359989965;1,22935781;45,25559013;0,463586807;0,301129375;0,15027786;-0,008452428;3
9,333333333;RUNA8C;0,374348177;2,057398918;0,359989965;1,22935781;45,25559013;0,463586807;0,301129375;0,15027786;-0,008452428;3
12;RUNA9A;0,966110264;3,903390161;0,299305052;0,296803219;39,74184851;0,929970667;0,193976436;0,555613839;-0,16200661;4
12;RUNA9B;0,966110264;3,903390161;0,299305052;0,296803219;39,74184851;0,929970667;0,193976436;0,555613839;-0,16200661;4
12;RUNA9C;0,966110264;3,903390161;0,299305052;0,296803219;39,74184851;0,929970667;0,193976436;0,555613839;-0,16200661;4
