ARMS;Foraminifera;Bryozoa;Porifera;Ascidiascea;Annelida;Bivalvia;Biofilms;Other.algae;Hydrozoa;Cirripedia;Cyanobacteria;Corallinaceae.algae
RUNA1A;3,32;14,3875;6,336875;1,545625;10,72625;0,97125;5,33875;0,18375;7,01125;0;1,488125;18,86625
RUNA1B;2,98;6,9975;7,82625;1,36125;9,08625;2,939375;5,995625;0;6,011875;0;0,863125;19,07875
RUNA1C;4,335625;7,034375;11,878125;2,39625;11,374375;0;8,429375;0,70625;3,14625;0;4,853125;21,46625
RUNA2A;4,3275;3,105;5,354375;2,43875;12,619375;2,03625;6,969375;0,5425;4,07875;0;5,23625;26,68625
RUNA2B;7,48125;8,4225;4,960625;0,863125;10,7975;0,263125;6,425;0,164375;2,894375;0;2,074375;29,06625
RUNA2C;13,62125;0;3,5675;2,91875;11,67875;0,939375;6,834375;0,29875;5,630625;0;0,89625;25,95875
RUNA3A;14,5125;5,5125;4,210625;7,154375;17,56375;0,385625;6,955;0,45625;2,611875;0;0,694375;19,405625
RUNA3B;10,436875;9,739375;5,576875;1,5775;12,5;0,81;6,86625;0,8025;3,779375;0;1,00625;24,5625
RUNA3C;1,925;9,44;13,485;4,374375;14,7125;2,83125;2,46125;0,28;10,316875;0;0,2825;15,935
RUNA4A;3,39875;15,2875;3,9425;3,6125;13,69375;1,0425;5,270625;0,514375;4,40625;0;5,339375;20,37875
RUNA4B;1,631875;10,985;10,64625;1,67625;18,04625;3,21625;4,570625;0,518125;4,423125;0;3,8325;15,855
RUNA4C;5,935;10,029375;5,378125;1,835625;15,199375;2,308125;5,76875;0,294375;5,133125;0;4,5775;18,475625
RUNA5A;5,046875;10,88625;8,63125;1,875625;12,21125;3,1825;5,425;0;4,275625;0;7,29375;16,366875
RUNA5B;3,625;7,273125;3,629375;1,538125;15,85625;1,263125;4,258125;0,15625;7,194375;0;0,8825;17,704375
RUNA5C;4,194375;16,059375;6,38;2,825;11,92625;3,90625;6,9875;0,47375;1,95625;0;8,97625;15,15125
RUNA6A;5,610625;8,598125;10,651875;2,384375;14,63875;1,385625;4,308125;1,678125;0,569375;0;2,955;27,1575
RUNA6B;3,22875;7,799375;10,104375;2,1225;15,076875;2,30875;6,47125;0,75;2,0425;0;3,13625;25,0975
RUNA6C;5,866875;4,695625;6,134375;2,345625;15,95125;2,611875;6,506875;1,308125;2,79625;0;1,426875;30,830625
RUNA7A;6,780625;15,4625;7,74625;11,510625;12,333125;3,191875;3,595625;0,29875;4,19;0;0,333125;16,126875
RUNA7B;7,29125;10,874375;6,308125;11,65375;13,304375;3,173125;3,585625;0,1275;4,8425;0,255;0,800625;16,305
RUNA7C;4,855625;17,01875;6,25875;15,589375;9,985625;0,958125;3,77125;0,799375;5,266875;0;1,58625;13,12375
RUNA8A;8,5825;16,8825;21,4675;5,775625;9,76125;1,364375;4,31125;0,1275;1,32;0,375;0;17,491875
RUNA8B;4,773125;37,6375;5,195625;9,895625;8,77;1,009375;1,124375;0,1275;2,19125;0,3775;0,7025;12,070625
RUNA8C;11,123125;9,891875;7,865625;11,7875;13,41125;1,709375;2,48375;0;4,6475;0;2,6625;11,906875
RUNA9A;8,08;7,163125;14,36625;7,094375;12,21125;3,668125;3,773125;0,320625;4,933125;0;2,191875;16,319375
RUNA9B;5,161875;31,80125;8,70125;5,22625;13,9825;1,72875;1,565625;1,085;3,124375;0,25;2,526875;11,96625
RUNA9C;7,603125;19,639375;7,156875;6,2875;9,8525;1,205625;3,96;0,15625;4,721875;0;0,90375;19,9475
